X, Y, NO_OF_BIKE
-28.080348789798386,153.4486999818701,5
-28.060263629410855,153.43785442294345,8
-28.089405696648097,153.45166144735018,10
-28.1208692338583,153.47233708098864,3
-28.122050494881233,153.47245199188174,5
-28.142140213806858,153.49285074808603,4
-28.14304488307948,153.4937058886881,4
-28.143443579081776,153.49434080413604,4
-28.168184316935186,153.53554088152814,2
-28.168059409162872,153.5358417133451,2
-28.168110213265344,153.5362589126524,2
-28.168202373955936,153.53690033002715,3
-28.168366148686538,153.5376894319652,3
-28.168366710633567,153.5376152687811,3
-28.16831856020742,153.53654519451132,2
-28.168190679393245,153.53562205054453,2
-27.969396392558853,153.41482828719134,2
-27.886588432298932,153.3937439627225,5
-28.090316804004104,153.45149109719125,2
-28.090319649798463,153.45150411981047,2
-28.08309481570199,153.39414757068192,0
-28.132705502003542,153.48974522727704,10
-28.090151550424363,153.45162973581859,2
-28.08991207652543,153.4516669237695,2
-28.083090099016662,153.39415544265447,0
-27.8689522650481,153.30452877124836,2
-27.986094721364882,153.42817880803696,2
-28.06868792157367,153.444547395559,4
-28.16728556873545,153.52801942319033,5
-28.166479300346463,153.53729632142986,5
-28.16701242264633,153.53933674093003,5
-28.166855011532377,153.54419998085146,2
-28.166906044222404,153.54409902799134,5
-28.166565239358608,153.53669225549297,5
-27.869005327390738,153.30452908721057,2
-27.944418619611536,153.32225158872257,9
-27.957352470746983,153.4108603696493,6
-27.86894052858016,153.3045291569563,2
-28.122014804346534,153.47484229999296,5
-28.100171438711207,153.46231681104396,4
-28.006008947619115,153.43120189410325,5
-28.006268603302534,153.4316049951842,4
-27.86898159284604,153.3045297745974,2
-27.86852555367181,153.30402742885911,2
-27.868536207230072,153.304026871449,2
-27.868543884532908,153.30402505017472,2
-28.133394513959026,153.4748594564212,6
-27.96374167232905,153.41521904709367,3
-27.96373587395181,153.41503148131343,8
-27.963937125178102,153.41642444528642,8
-27.966761802318256,153.41287735424726,16
-27.969401444448945,153.41482939647858,2
-27.969416684575176,153.414834653456,2
-27.968970743766373,153.41450412629376,2
-27.968954238312474,153.41449936886002,2
-28.008013792047073,153.43175796874425,4
-28.012085428163665,153.432375828689,4
-28.057623467736267,153.43836521710585,5
-28.05978851944567,153.438085600746,8
-28.002096585060748,153.41730169772075,2
-28.00208922725144,153.41725730396,2
-28.002678366281117,153.41732884728776,1
-28.002578598080785,153.41781631068838,1
-28.08982656758465,153.45167940755428,2
-28.089821147022956,153.45168072847883,2
-27.998174150057167,153.4307721055328,2
-27.9981615222711,153.43077172071668,2
-27.998149877384563,153.43077167441115,2
-27.998139858156048,153.43077138234725,2
-27.99812956706161,153.43077142583837,2
-27.999541134550082,153.43088371341713,2
-27.999533561913683,153.43088334767185,2
-27.99952868915001,153.43088274145697,2
-27.999522819733823,153.43088330494237,2
-28.003613483636855,153.43127739753717,2
-28.003628547392726,153.4312782121944,2
-28.003637481526287,153.43127908686085,2
-28.003656076167623,153.43127949654223,2
-28.003646868855704,153.43127937546043,2
-27.876994372627976,153.39881751036472,0
-27.877016558739523,153.39882169584544,0
-27.874592184820074,153.40017462225785,0
-27.874604491281133,153.4001645310962,0
-27.875141639970067,153.39990171524008,0
-27.97547061318234,153.42925391542295,2
-27.975481445672834,153.42925395830517,2
-27.96398858586284,153.41517973657585,7
-27.978061535572806,153.42942364967243,2
-28.117174016797133,153.46774451723954,5
-28.11714704439338,153.46787410986624,10
-27.976466700657728,153.4293549521853,2
-27.976463633286787,153.4293543523149,2
-28.077009659008013,153.3817848436158,2
-28.0770049614685,153.3817860859903,2
-28.07701471739233,153.38178368699232,2
-27.910985634008888,153.39330335961014,20
-27.90029175926017,153.32977702162003,7
-27.900316700404883,153.3297625179713,7
-28.089636287108572,153.45518400435384,5
-27.87560699717211,153.3955485706843,1
-27.875601109278442,153.39555558631872,1
-27.8755956803344,153.39556310546575,1
-28.00531263940829,153.43143185628412,1
-28.10917101551714,153.4669911968154,6
-28.10415822713499,153.46455675360622,4
-28.05896528436366,153.44204363520413,4
-28.001760053525082,153.43115738703992,2
-28.001791009694273,153.43115960642925,2
-28.001779004785426,153.43115922301152,2
-28.00180066573281,153.43116056734166,2
-28.001818710256654,153.4311608069862,2
-28.001827375687416,153.43116100929572,2
-28.001836222449906,153.4311609600957,2
-28.00184650424678,153.43116100102424,2
-27.92622441161334,153.40613481298126,4
-27.970726433430688,153.41396813132454,2
-27.970730718544253,153.41395406234537,2
-27.97073392443912,153.41393864812443,2
-27.937122641660316,153.4031768080071,2
-27.937133207848962,153.40317533880742,2
-27.937142950849235,153.40317445304774,2
-27.76284010024549,153.24589837408658,5
-27.762773176143686,153.24546299250738,5
-27.868993870030323,153.30452980892187,2
-27.86863831954498,153.30450410497474,2
-27.86862910962217,153.30450500058026,2
-27.8686499572688,153.3045034670645,2
-27.86867757927072,153.30450429802357,2
-27.86869147160967,153.3045046720819,2
-27.868703479824447,153.30450386759617,2
-27.868929424580102,153.3045292935233,2
-27.99951731560308,153.4308825284045,2
-27.99951054400857,153.4308829204896,2
-28.000426402473835,153.43098099455764,2
-28.000432534199827,153.43098026430414,2
-28.00043966556189,153.43098029267824,2
-28.00044751803518,153.43098065954769,2
-28.00045428595018,153.43098144112616,2
-28.000465932145918,153.43098106843968,2
-28.00047278472169,153.43098076007837,2
-28.003585961437167,153.43127401701793,2
-28.003596967054555,153.431276409277,2
-28.003605449309948,153.43127744996158,2
-28.120927820148196,153.47282907725292,2
-28.168451159883904,153.5372533396674,2
-28.16811140333335,153.53613939456469,2
-28.119997967964167,153.47188384042227,2
-28.119607499035915,153.4716341233545,2
-28.11919172806986,153.471368345871,2
-28.15504824313428,153.50648544560312,5
-28.164783760832368,153.52084846962663,5
-28.16292147601935,153.51714985571581,5
-27.88593600700933,153.39552980280519,2
-27.8859339704032,153.39551597198758,2
-28.09015814337306,153.45162875671653,2
-27.823636255021366,153.3246744325055,1
-27.82363518748442,153.32466773172916,1
-28.007133518438046,153.4316259713062,2
-27.88567176510573,153.39429231009998,2
-28.118822479186168,153.47224213951984,2
-28.118831939144354,153.47224747031447,2
-28.11884256269764,153.47225305769425,2
-28.076449213536666,153.41349148746303,2
-28.076467549980645,153.41351463653524,2
-28.143111515082598,153.4959720841492,2
-28.14312978927652,153.49598602452238,2
-27.99137183503595,153.335466975801,1
-27.97034897031621,153.41241386936844,2
-27.970345155613515,153.41245175082165,2
-27.970348140789238,153.41241956723226,2
-27.97034785238527,153.4124254349204,2
-27.97034571407579,153.41244613631915,2
-27.970346753047473,153.41243079724143,2
-27.970345821438766,153.41244043469268,2
-28.035972592101945,153.4238763973126,2
-27.91824157558513,153.33682711177082,4
-27.978209197379723,153.37220544531334,10
-28.012226554307624,153.3695822521891,0
-28.01223008560314,153.3696017754831,0
-28.141646637254915,153.49522771260453,5
-28.12768116773457,153.48583121618202,10
-28.073803019274248,153.44633868253726,8
-28.074454149285373,153.44632198793175,8
-28.085646027395573,153.355086214612,7
-27.8781041965186,153.31270548520988,10
-28.126971048863435,153.47204258835765,5
-28.081224359640053,153.43198252924572,10
-28.077602965208225,153.44612410291688,4
-28.029940858323037,153.43492653618523,5
-28.08838516717568,153.45162225998985,2
-28.08893683926993,153.45248152307394,2
-28.13736610603817,153.4753002617146,5
-28.111637595464334,153.39045636709068,5
-28.00904690689519,153.4319062621944,2
-28.00904837941457,153.4318972939321,2
