X, Y, Tap, Dog Bowl
-28.001176757636006,153.43130048688732,Y,Y
-27.952906017080384,153.30443027553287,Y,N
-27.782296647464012,153.23201155315883,Y,Y
-27.943454496415576,153.3858569470666,N,N
-27.88554033946313,153.30529648087622,Y,Y
-27.881195512042495,153.31450048466797,N,N
-28.05382724688024,153.39900490472,Y,Y
-28.055685145699012,153.3954304326169,Y,Y
-28.144217264273212,153.457527889583,Y,Y
-28.018375104521756,153.41012960429427,Y,Y
-28.021125141072496,153.40948508646017,Y,Y
-27.999209898626948,153.39772850144675,Y,Y
-28.01332160581891,153.4107200573451,Y,Y
-28.047623382094702,153.36692279527773,N,N
-27.988073714701443,153.36405908912252,Y,Y
-27.99907581545052,153.39821592626893,N,N
-27.818658319251764,153.30440726373422,N,N
-28.048658388207286,153.36911573133182,N,N
-27.98887271695936,153.35396998811257,N,N
-27.85449987124809,153.3514264135638,Y,Y
-27.927206483154798,153.32426623194024,N,N
-27.823897707061146,153.32506614054006,N,N
-27.864502062989946,153.3255375801668,N,N
-27.86437464448575,153.3244941378047,N,N
-27.801531048159937,153.251888528914,N,N
-27.80153039578226,153.2518997453857,N,N
-27.967004621830764,153.39878644239053,N,N
-28.073071010474017,153.4405479930297,Y,Y
-27.891599004367833,153.31042645717537,Y,N
-27.914655660320857,153.38178247680855,Y,Y
-28.078053677499724,153.44778968221303,Y,Y
-27.942839965435912,153.3994305804076,N,N
-27.90371009739451,153.32589885275883,Y,Y
-27.990117112072202,153.36827757040137,Y,Y
-27.985899328925342,153.38477890776971,Y,Y
-27.889787020824148,153.38348044785107,N,N
-28.127032854525176,153.47049912722278,Y,Y
-28.041508493903347,153.43738666057723,N,N
-27.949435017404053,153.36680253208405,Y,Y
-28.16492011933676,153.54445325309928,N,N
-28.164595056248316,153.54467729218112,N,N
-28.13104044626754,153.45983697116435,N,N
-28.055122110980818,153.4410460388935,Y,N
-28.059169104045296,153.36231848822064,N,N
-27.78007945339501,153.2730296939441,Y,Y
-28.072043111179994,153.4456258233261,Y,Y
-28.0797469754187,153.4330851103387,N,N
-27.944113047429248,153.32162549575733,Y,Y
-28.06186711423154,153.42376992987928,Y,N
-27.871216538917597,153.3651120800573,N,N
-28.07996180615702,153.43364668061483,N,N
-28.079214043446242,153.43265360959558,N,N
-28.0797370517205,153.43336915846564,N,N
-27.81898637012851,153.2826892665383,Y,Y
-27.91943847593697,153.31680216635831,N,N
-28.072504856991998,153.36231706446728,Y,N
-28.019473073575277,153.42660048916457,Y,Y
-27.9661997965265,153.41661782283458,Y,N
-27.966924114684982,153.41759095069776,N,N
-27.967116639009323,153.4182979470775,N,N
-27.969046392692224,153.41852379321577,N,N
-27.970666687766464,153.42010173487782,N,N
-27.965517128125526,153.41768815116822,N,N
-27.96470075033757,153.41740029827398,N,N
-28.04431680148068,153.3899450087117,N,Y
-28.0983865576271,153.458486396488,Y,Y
-28.093441913748123,153.4187202830719,Y,Y
-28.008925393949763,153.38588795340516,Y,N
-28.009298796619856,153.38603807171054,Y,N
-28.143672048868886,153.45957986331229,Y,N
-28.008792941806636,153.38405896928052,Y,Y
-28.164815205536357,153.54646928049118,Y,Y
-27.953201344044732,153.3755991858381,N,N
-28.010611305115983,153.3877880524619,Y,N
-27.985997702865873,153.4284784915646,Y,Y
-27.997156716357992,153.41591236581567,N,N
-28.076569363416116,153.38180091145225,N,N
-28.074026343044114,153.36094484550054,N,N
-28.076976612910922,153.38242935740715,Y,Y
-28.062331550828052,153.43001121785758,N,N
-28.074185870124023,153.3806306521098,Y,N
-27.992154696276458,153.41534540424465,N,N
-28.003502652266782,153.42772184908017,N,N
-28.165103639167818,153.5448517975632,N,N
-28.039991568020678,153.31024709136852,N,N
-28.06441960812577,153.42895046663833,N,N
-27.944085010121007,153.30778647425188,N,N
-28.07850397010218,153.36537058806385,N,N
-28.008906302579845,153.3872198416283,Y,N
-28.009374063310325,153.38770989832383,Y,N
-28.008388485536422,153.4127898886879,N,N
-27.854070649511907,153.29572587839704,N,N
-28.167458824548167,153.52998874490774,N,N
-27.88145437658607,153.31334466195938,N,N
-28.112347999938244,153.45706675711256,Y,N
-28.16474326589706,153.5208889245011,N,N
-28.030543330723496,153.43460037137928,N,N
-28.03109017966023,153.43502678953757,N,N
-28.158427051300734,153.5105207797633,Y,Y
-28.00083143994327,153.43127235832446,N,Y
-27.999261352213985,153.43114408605567,N,Y
-27.885849867983534,153.28174734817446,N,N
-27.941005622833746,153.4084603979926,N,Y
-28.030688608761118,153.43475295879216,N,N
-27.990638309018536,153.3394151341386,N,N
-27.887499837605443,153.2827534356708,Y,Y
-27.913464922446888,153.27626241211266,N,N
-27.912454748280002,153.2772712757048,N,N
-28.030870903624105,153.43498639651804,N,N
-28.031363544395145,153.43465987143546,N,N
-28.062519383330844,153.4144519924731,N,N
-27.943396675232535,153.31250078526477,N,N
-27.973532550658305,153.42866244174184,N,N
-28.061556184273623,153.44248201647937,Y,Y
-27.86739367424016,153.30484002979904,N,N
-27.867220018528716,153.30439250597925,N,N
-28.04172828012653,153.37782654859558,N,N
-28.022903743304667,153.36052313095774,Y,Y
-28.164113027989135,153.51927937879353,Y,Y
-27.98846298969062,153.33165302611982,N,N
-28.004235023951225,153.42767576268204,N,N
