OBJECTID,CLASS,BUILDING_U,NO_OF_STOR,NO_OF_LIFT,NO_OF_BASE,BLD_ENERGY,EQUITABLE_,AREA_SQM,ASSET_POSI,FUNCTIONAL,GIS_DESCRI,CREATED_DA,LAST_EDITE,SHAPE_Leng,SHAPE_Area
1,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,86.04,GPS,K-ANNETT,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,66.93150534,159.8947803
14,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,18,GPS,K-REGCHE,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,32.52194851,62.88117962
25,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,2,0,0,ELECTRICITY (GRID),Y,15,GPS,K-SYDDUN,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,23.24296275,33.64867742
47,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,265,GPS,K-COOKEM,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,78.96529404,324.846446
59,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,6.25,GPS,K-VINEYP,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,11.96200469,8.942677297
65,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,22.27,,K-QUEENS,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,18.99458989,22.27535869
74,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,18,,K-OWENPA,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,16.46051885,16.86214606
78,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,38,GPS,K-STANMO,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,38.13109063,55.8586563
88,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,N,118,GPS,K-RUNA02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,46.979041,124.7343485
118,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,48,GPS,K-PARK01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,34.72533871,59.44086135
123,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,19,GPS,K-PARA01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,8/10/2014,23.47278521,39.92909564
126,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,33,GPS,K-GEMVAL,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,32.34364861,57.03352724
128,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,20.16,GPS,F-TPMAIN,AMENITIES BLOCK,23/05/2014,5/02/2015,24.57214729,32.16048998
129,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,18,GPS,F-TPBROA,AMENITIES BLOCK,23/05/2014,5/02/2015,18.83045638,18.48994335
141,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,12,GPS,K-COLM02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,17.69000058,19.55699392
148,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,10,GPS,K-OXEN02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,16.93664552,17.73674641
149,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,30,GPS,K-TEPE01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,29.90607889,46.764143
158,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,28.89,GPS,F-TPTALL,BUILDING,23/05/2014,5/02/2015,23.05356765,28.88524843
159,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,259.51,GPS,F-TPKIRR,AMENITIES BLOCK,23/05/2014,5/02/2015,93.76032027,314.9465737
171,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,40,GPS,K-WALLYF,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,27.12907665,45.11877594
182,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,23.08,GPS,F-TPBROA,BUILDING,23/05/2014,5/02/2015,21.13880623,23.08341067
184,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,18,GPS,K-BETTYD,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,19.02101274,21.50019786
185,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,9,GPS,K-BETTYD,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,14.20120504,12.58374015
189,PUBLIC TOILET,Public Amenities Building,1,0,0,Electricity (Grid),N,49.64,AIR,F-CFPIMP,BUILDING PUBLIC AMENITIES BUILDING,27/05/2015,3/06/2015,30.92801278,49.64701263
196,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,35,GPS,K-MUSG01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,27.14040729,45.15120288
203,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,38,GPS,K-NEDTWO,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,28.92837733,52.06847321
205,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,160,GPS,K-CASCAD,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,61.26256491,155.1233692
210,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,26,GPS,K-PRATTE,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,29.24622051,46.91223711
211,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,35,GPS,K-PRATTE,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,29.55372765,47.62438966
215,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,11,GPS,K-MUDG02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,15.96731061,15.89257845
216,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,43,AIR,K-COOM02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,29.956915,55.13175476
221,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,14.4,GPS,K-CURR09,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,11/08/2014,34.47029143,57.53863474
224,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,N,59.98,GPS,K-SURF02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/08/2014,33.91881028,59.84693613
225,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,N,52.08,GPS,K-SURF02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/08/2014,33.9275675,51.96256849
228,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,N,28.11,GPS,K-SURF02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/08/2014,21.25936578,28.04916125
231,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,45,GPS,K-CANOWI,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,34.53310183,81.87258222
234,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,42,GPS,K-ZIPFSP,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,31.62904243,62.54806642
245,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,10,GPS,K-PEAC01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,19.27458272,23.21926869
246,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,21,GPS,K-JABIRU,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,28.9175396,54.07250635
247,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,29.48,GPS,K-MURLON,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,25.96240644,40.59273974
252,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,32,GPS,K-CHAR03,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,28/05/2014,27.95478583,44.8942391
254,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,10,GPS,K-JAMESO,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/06/2014,14.35978213,12.84849669
